id:ID(Person),Born:int,PhotoUrl,Uuid,FirstName,LastName,Name
12,1988,https://image.tmdb.org/t/p/w185/kJot5sckPZRFVzkKEEJtaod423s.jpg,1417a2e4-20bd-4f03-ab75-77e75c0e2062,Rowan,Witt,Rowan Witt
13,1967,https://image.tmdb.org/t/p/w185/nh5SBuv9cm1FByTc7dlV0zyO3GO.jpg,de13cf37-4ba0-4949-81b3-9ba9ae857738,Andy,Wachowski,Andy Wachowski
14,1965,https://image.tmdb.org/t/p/w185/8mbcXfOpmOiDLk6ZWfMsBGHEnet.jpg,32be5e79-129b-4ba3-93a0-c9b7a4c96a5d,Lana,Wachowski,Lana Wachowski
15,1952,https://image.tmdb.org/t/p/w185/1LIjLDXGRhwXohHL2jKhyvLv0rZ.jpg,93d91551-4329-43aa-a572-2d92495318df,Joel,Silver,Joel Silver
29,1944,https://image.tmdb.org/t/p/w185/y6ICnJGyavStO2wrbqpf5hABwPj.jpg,c112c5e7-dddc-4873-a98c-e837051e3c4d,Helmut,Bakaitis,Helmut Bakaitis
30,1958,https://image.tmdb.org/t/p/w185/p4tfJZVGZmc4S22bKCzHaUVUiqa.jpg,39b54f6b-c651-425a-9523-4819688e1b01,Lambert,Wilson,Lambert Wilson
31,1964,https://image.tmdb.org/t/p/w185/z3sLuRKP7hQVrvSTsqdLjGSldwG.jpg,223394e8-8524-438b-84b9-c65f338c22ac,Monica,Bellucci,Monica Bellucci
32,1970,https://image.tmdb.org/t/p/w185/c3ExwLos7XIsLUuEzwFjOd1wYWo.jpg,61075b53-6c87-44b8-b184-a00ca3a7b6d1,Adrian,Rayment,Adrian Rayment
33,1970,https://image.tmdb.org/t/p/w185/yXV3FgDENpm5P9m62GugJNGhczH.jpg,5e651a50-49fc-4228-b8a4-b9aed65f5023,Neil,Rayment,Neil Rayment
34,1965,https://image.tmdb.org/t/p/w185/gsIWvByH4lzQdTgMswQWqiAQOql.jpg,4e6faee0-49d5-47c0-8a58-63054cc10c2f,Daniel,Bernhardt,Daniel Bernhardt
35,1969,https://image.tmdb.org/t/p/w185/fgsHZRBpMinLbRninT1RcApxEnA.jpg,93be3f3e-8056-4313-994b-aa37eaea65d9,Roy,Jones Jr.,Roy Jones Jr.
36,1943,https://image.tmdb.org/t/p/w185/9AWMELz25S915kaUr5OzHJN4Xtm.jpg,da6c1777-6038-432b-8551-22cf01b0cf5f,Randall,Duke,Randall Duke
37,1964,https://image.tmdb.org/t/p/w185/uwpRytLjzz1IvjNanYNlplPVal9.jpg,5e09d5ba-e894-43fa-9127-e40c3738640b,Harry,Lennix,Harry Lennix
38,1967,https://image.tmdb.org/t/p/w185/Ug1pqZuUcQjW4y9ljgBpFnHpcA.jpg,cefbc802-a3ce-4349-acae-cbca1a66a78f,Collin,Chou,Collin Chou
39,1953,https://image.tmdb.org/t/p/w185/lMOn0gg1tTphBE974NARiTmqTES.jpg,e1255553-dc28-4b84-8dec-54bf7af7bb47,Cornel,West,Cornel West
40,1971,https://image.tmdb.org/t/p/w185/9F9om3LeN7xM1yPcUn9e2qSpkDh.jpg,983a5cfb-3c5a-43d8-87fc-98b51b7ff13d,Jada,Pinkett Smith,Jada Pinkett Smith
41,1974,https://image.tmdb.org/t/p/w185/tNwU5M0ylEuDtxqFLpNnNE7jFKb.jpg,1055f7b1-605e-4434-8ace-95369c47ad71,Nona,Gaye,Nona Gaye
42,1966,https://image.tmdb.org/t/p/w185/pL2atjQ6ZnUzvlI4r3LeT6h3OW6.jpg,3ad3ff9a-69a1-4cdc-9c35-ae2cbc4771e4,Steve,Bastoni,Steve Bastoni
43,1973,https://image.tmdb.org/t/p/w185/1lKEZ4rvjYzfSm5a3W7lIm8k3YN.jpg,916be5f9-c5fd-48d1-8087-c04ae77ac4aa,Nash,Edgerton,Nash Edgerton
44,1962,https://image.tmdb.org/t/p/w185/n5W2C8Fir0wdQg8HmBeBpmvpCfH.jpg,f32e7038-2f02-4eb8-b00e-14a7954a2c89,David,Franklin,David Franklin
45,1942,https://image.tmdb.org/t/p/w185/5tqOX7iKTWaf3KDN4hiHXXN7wmI.jpg,f222f86f-b7d7-4db7-bba7-4e7f658eb0d1,Robyn,Nevin,Robyn Nevin
46,1963,https://image.tmdb.org/t/p/w185/kHdfkvm6KAmYQaoCMegLp9303D2.jpg,54eb6de4-49d9-4b38-bad6-66409716d36c,Harold,Perrineau Jr.,Harold Perrineau Jr.
47,1969,https://image.tmdb.org/t/p/w185/z43hy1X1vRD26vNDh0lzxg1rcBl.jpg,e622cffd-49fa-496b-a26a-cf33b36d49ae,Gina,Torres,Gina Torres
48,1977,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,eb619a2c-34a0-42cb-8b79-51dbb36a49f5,Clayton,Watson,Clayton Watson
49,1977,https://image.tmdb.org/t/p/w185/cEy5gYVsjC7YL5Q53lkwjqYWP22.jpg,355e57cb-0744-416d-8a56-135142a407ce,Leigh,Whannell,Leigh Whannell
50,1959,https://image.tmdb.org/t/p/w185/1DEmHQyjfMLQssEE8PeFOtTYGn3.jpg,224492b7-e192-47bf-9d62-4bcc8b449a4d,Bernard,White,Bernard White
51,1936,https://image.tmdb.org/t/p/w185/hCxhuiCamxs0SOoQH46psnjT8xJ.jpg,8ad5bac8-03cf-4437-9143-03e5773e5aa9,Anthony,Zerbe,Anthony Zerbe
69,1941,https://image.tmdb.org/t/p/w185/2h20nF8gvhqhgVDV6Lru55dKB44.jpg,754f3e34-032d-416c-920d-cc94140cf152,Mary,Alice,Mary Alice
83,1955,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,12a2d80f-de68-45ee-8e85-d106fb73953f,Bruce,Willis,Bruce Willis
84,1954,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,88c977c3-e73b-4d56-b87f-bea29f7331bb,John,Travolta,John Travolta
85,1948,https://image.tmdb.org/t/p/w185/dlW6prW9HwYDsIRXNoFYtyHpSny.jpg,63c6ff9a-4a8b-44dd-aac5-900d14775f61,Samuel,L. Jacson,Samuel L. Jacson
86,1939,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,ee9af08f-34ee-4989-872a-7ae4ecd58ad4,Harvey,Keitel,Harvey Keitel
87,1970,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,eff8d604-60bb-4557-a7b8-b7620ede4f11,Uma,Thurman,Uma Thurman
88,1961,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,3b31d234-c32c-4442-b25f-2c7a6fde2f70,Eric,Stoltz,Eric Stoltz
89,1959,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,63ba3ba2-ab86-4f76-8673-37473a564e9c,Ving,Rhames,Ving Rhames
90,1961,https://image.tmdb.org/t/p/w185/r4jtlboNqWPz2dOHafrPJE4Yd94.jpg,33b1bd10-6824-4b78-b3ac-9492b516a8b6,Tim,Roth,Tim Roth
91,1957,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,06643e7a-e898-4c9a-86be-04f854e699a6,Amanda,Plummer,Amanda Plummer
92,1965,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,957ae586-879d-4a44-bf8f-fba8667dbb37,Maria,de Medeiros,Maria de Medeiros
93,1965,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,0b0cd183-2d5b-4436-abcc-e4834e9d8fe5,Peter,Greene,Peter Greene
94,1959,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,44bbfeb2-c874-49b2-b3b1-ab9cee55e021,Rosanna,Arquette,Rosanna Arquette
95,1959,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,d55f6334-7efd-41f4-ba8c-b1f89c56c62b,Duane,Whitaker,Duane Whitaker
96,1963,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,66dbb505-738e-4cec-9cc3-9ccd0f589edb,Frank,Whaley,Frank Whaley
97,1957,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,ad326d3a-7566-4e7c-b358-31a465a3f3d5,Steve,Buscemi,Steve Buscemi
98,1943,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,763e6fe5-15ab-493b-9aef-4d513f696cb1,Christopher,Walken,Christopher Walken
99,1959,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,a8faea71-69a6-42fc-bfc4-878c3f4eff76,Julia,Sweeney,Julia Sweeney
100,1963,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,55eaca53-eb58-4114-b10a-6107e63ccb74,Quentin,Tarantino,Quentin Tarantino
101,1969,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,73a9806e-e060-4d6b-aecb-8684d1a71c7a,Alexis,Arquette,Alexis Arquette
102,1972,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,54642ad7-1927-4684-ac97-cb8bb208f5ae,Bronagh,Gallagher,Bronagh Gallagher
103,1967,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,1e16ae6f-15f7-452d-ab35-05414f998b76,Phil,LaMarr,Phil LaMarr
104,1965,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,0358f2ca-dc5d-438f-abad-24abce3ab16e,Burr,Steers,Burr Steers
105,1949,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,a9013bcb-5359-44a2-ab7b-d7c8d4ecfa90,Joseph,Pilato,Joseph Pilato
106,1957,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,c4e90a93-2f9d-4624-b9ce-86e9b732f819,Lawrence,Bender,Lawrence Bender
107,1960,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,58eb3159-2050-4ae7-b7e3-8c3aa7c6a817,Kathy,Griffin,Kathy Griffin
108,1965,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,b2925a40-f6d2-4e75-81f5-25048570209c,Roger,Avary,Roger Avary
109,1944,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,39c83ca5-b72f-4fae-a4cf-f2879dc38113,Danny,DeVito,Danny DeVito
128,1000,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,7ada70e0-9e8e-42e8-a35d-5c940f226f8b,Gabriela,Cowperthwaite,Gabriela Cowperthwaite
131,1956,https://image.tmdb.org/t/p/w185/xxPMucou2wRDxLrud8i2D4dsywh.jpg,b991c5a1-fe20-4562-93f1-e67f7b694ff1,Tom,Hanks,Tom Hanks
132,1966,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,6042419f-8f66-4036-8ca2-81b6bc3b8023,Halle,Berry,Halle Berry
133,1949,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,9872e436-6cab-4819-b7c4-d41ec5f0ef5f,Jim,Broadbent,Jim Broadbent
134,1946,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,30a217e5-f5c1-48c7-a590-d712e5dfdd31,Susan,Sarandon,Susan Sarandon
135,1960,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,d59b5e8e-7a7f-4b31-93c0-bb625025fa0e,Hugh,Grant,Hugh Grant
136,1956,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,08e488a6-71d0-4c9a-bf7b-4e35e744979d,Keith,David,Keith David
137,1975,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,1364fd68-f16f-463a-b9df-df20560d8175,James,D'Arcy,James D'Arcy
138,1979,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,fe2a4d75-f1a2-4c6b-a69c-7d240d6e90ee,Bae,Doona,Bae Doona
139,1978,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,5a920929-78dc-4d0d-b8fd-db625352f293,Jim,Sturgess,Jim Sturgess
140,1980,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,dde91fde-ba39-4acc-82b4-dd49a58ed160,Ben,Whishaw,Ben Whishaw
141,1976,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,ccf63975-fe7f-4404-991d-3d77071632d5,Zhou,Xun,Zhou Xun
142,1980,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,7b95c01c-aa2a-42a5-898e-594b74a92250,David,Gyasi,David Gyasi
143,1925,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,ec8651d5-4ac4-4235-b698-38e4560744b0,Robert,Fyfe,Robert Fyfe
144,1962,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,5201faa6-a507-4f99-bdd7-c5850b55b67b,Martin,Wuttke,Martin Wuttke
145,1965,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,c2432fbc-129d-4e55-bca3-3a6a9804e6fd,Tom,Tykwer,Tom Tykwer
458,1958,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,b8d81e1a-1bd4-4183-95f1-bfbdf612e49a,Tim,Robbins,Tim Robbins
459,1937,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,13489e37-20d1-48d5-8473-51afe5270bab,Morgan,Freeman,Morgan Freeman
460,1945,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,305a117b-4cec-4db6-ba7e-32d32016607d,Bob,Gunton,Bob Gunton
461,1950,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,8a68384d-817b-4eda-a7ec-737b3f50e082,William,Sadler,William Sadler
462,1959,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,8156dfd9-5820-4faa-a4dc-cb79143fc91f,Clancy,Brown,Clancy Brown
463,1967,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,ad10afd3-8243-44a8-ae18-105fd21f25a8,Gil,Bellows,Gil Bellows
464,1956,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,4b8a4c84-5a33-42e3-9cb8-01859f449218,Mark,Rolston,Mark Rolston
465,1921,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,abf920b3-dfd2-4055-b966-7e4c841309be,James,Whitmore,James Whitmore
466,1959,https://image.tmdb.org/t/p/w185/9KVvZtDyy8DXacw2TTsjC9VLxQi.jpg,b7d94f1c-5953-4079-a02f-c366a17242f9,Frank,Darabont,Frank Darabont
472,1924,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,24910d1c-aa99-48e6-8626-f0b756984f45,Marlon,Brando,Marlon Brando
473,1940,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,4238ff7a-213d-4b4c-ac74-090dd0c17737,Al,Pacino,Al Pacino
474,1940,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,335022c1-1af7-4e7c-962c-084be5ee9580,James,Caan,James Caan
475,1933,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,bd108db3-e98a-4eae-840a-a412c86fae8d,Richard,S. Castellano,Richard S. Castellano
476,1931,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,8be53910-faad-4410-a9d3-78562ae93e5d,Robert,Duvall,Robert Duvall
477,1916,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,e7ba1f9d-df8b-414e-9ef5-e859c3d9b980,Sterling,Hayden,Sterling Hayden
478,1910,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,98fea33f-6f79-4dc5-b6d0-3d3d60fb208b,Richard,Conte,Richard Conte
479,1928,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,791972e7-a909-468c-9ae5-795dfca7a1eb,Al,Lettieri,Al Lettieri
480,1946,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,85c92bba-4642-4d39-8687-5a04171209d8,Diane,Keaton,Diane Keaton
481,1921,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,1b17a5dc-06f8-400d-986f-ab62926671d9,Abe,Vigoda,Abe Vigoda
482,1946,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,0015ab92-e426-42ab-91cb-03659cc246aa,Talia,Shire,Talia Shire
483,1943,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,fceb51ee-de27-48f4-9958-59985911f15c,Gianni,Russo,Gianni Russo
484,1935,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,4ee31435-74a0-4c9c-82c3-6c8d038ef352,John,Cazale,John Cazale
485,1907,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,239961ca-e6ff-48ac-9e88-ecf19e918db5,John,Marley,John Marley
486,1912,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,c22326e8-0009-4a86-a553-8ac7007a4da4,Rudy,Bond,Rudy Bond
487,1927,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,9703ae51-b73d-4253-994c-381edad84314,Al,Martino,Al Martino
488,1954,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,9c0a00ca-43bf-4855-8712-c535701cec92,Simonetta,Stefanelli,Simonetta Stefanelli
489,1936,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,36aaa580-5bc2-4ca9-a1be-1715a2cac286,Alex,Rocco,Alex Rocco
490,1971,https://image.tmdb.org/t/p/w185/zG1WS4sS5jvYkObHMxsK6fGK7Uk.jpg,bd4d93db-f918-4820-bc6d-b4ae541effec,Sofia,Coppola,Sofia Coppola
491,1939,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,1a97ff27-15cf-4005-b5e3-ce96f89efb94,Francis,Ford Coppola,Francis Ford Coppola
492,1920,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,8601a439-82c3-4c4f-a4a0-3589426584df,Mario,Puzo,Mario Puzo
495,1000,https://image.tmdb.org/t/p/w185/qCGKepqazqcurcD39eIiQZHLosz.jpg,22d4b3aa-39db-4be4-993f-54659618970c,Stephen,King,Stephen King
497,1943,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,da5a8f69-660f-4d36-ab3a-34a0d29237f0,Robert,De Niro,Robert De Niro
498,1901,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,b5d1e2f1-bfa2-49c3-8a6b-dc873c5844f3,Lee,Strasberg,Lee Strasberg
499,1923,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,2e5c667c-dcbd-43b1-9319-94dbad65d322,Michael,V. Gazzo,Michael V. Gazzo
500,1920,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,266b13ee-28de-46eb-9ddc-113673aac715,G.,D. Spradlin,G. D. Spradlin
501,1937,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,f43c47d4-0318-48c3-a6ca-8e7163ab326a,Richard,Bright,Richard Bright
502,1929,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,74e227cf-5fae-4522-8b78-be0c818fb8b2,Gastone,Moschin,Gastone Moschin
503,1949,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,0bbf778d-493c-4182-b44d-fd4021c057b6,Bruno,Kirby,Bruno Kirby
504,1952,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,65205431-3a7b-4e13-8c1f-445319c1ecf6,Frank,Sivero,Frank Sivero
505,1941,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,40bd77ff-6679-404f-9600-c03aa31446b6,Marianna,Hill,Marianna Hill
506,1931,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,5a5cf073-d896-412d-a21b-e687ae137c4e,Dominic,Chianese,Dominic Chianese
507,1932,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,de209793-e345-4dd7-a679-1b25800b401e,Fay,Spain,Fay Spain
508,1926,https://image.tmdb.org/t/p/w185/nDSav6v9Z8dSJSXoooT2g0LjbCd.jpg,dcde5db5-1a53-4d1b-9ec5-dbac4ee3ae6d,Harry,Dean Stanton,Harry Dean Stanton
509,1933,https://image.tmdb.org/t/p/w185/UvPalkz4ynJJrTcrbpfD05gVoO.jpg,0a31ca24-458f-44e8-a4d1-33024fc88e7a,Danny,Aiello,Danny Aiello
510,1926,https://image.tmdb.org/t/p/w185/gCfEvxl7jTv2dBo8HvwWVMi3auz.jpg,bb506db5-4a0b-4a63-907e-4451eec25a16,Roger,Corman,Roger Corman
516,1000,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,18e3491b-c46a-4172-9f75-fc6259a84ec8,Drew,Maxwell,Drew Maxwell
518,1915,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,0a34df00-3c3d-4aae-be33-b0f1e264339e,Eli,Wallach,Eli Wallach
519,1930,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,7984a7b4-a390-4b5e-b96b-96174b87f964,Clint,Eastwood,Clint Eastwood
520,1925,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,fab150b4-4576-4c26-84b1-a31238e5588d,Lee,Van Cleef,Lee Van Cleef
521,1924,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,4f3fc8bf-8e29-4a97-a9fd-fbfcb7e06c70,Aldo,Giuffr,Aldo Giuffr
522,1931,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,eeb08d2e-48ca-4f67-b795-c013c9f6e500,Aldo,Sambrell,Aldo Sambrell
523,1923,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,a87da5ec-7727-4cbf-890f-a4fd78ce8387,Mario,Brega,Mario Brega
524,1929,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,9589f92b-ce88-4f8a-aa13-06fd6f148018,Sergio,Leone,Sergio Leone
525,1000,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,241f9d2a-24e0-4041-93ad-ed503f0d6dab,Luciano,Vincenzoni,Luciano Vincenzoni
533,1979,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,295a8a1d-9519-46d5-990e-c8f806dcad69,Heath,Ledger,Heath Ledger
534,1977,https://assets.tmdb.org/assets/7f29bd8b3370c71dd379b0e8b570887c/images/no-poster-w185-v2.png,d2f01ed0-e8c8-4eb3-a88b-1776b1dc0c01,Maggie,Gyllenhaal,Maggie Gyllenhaal
